6125
NM_001179046.3	NM_001179046.3	MissingGeneType
NM_001179047.1	NM_001179047.1	MissingGeneType
NM_001179048.1	NM_001179048.1	MissingGeneType
NM_001179049.3	NM_001179049.3	MissingGeneType
NM_001179050.4	NM_001179050.4	MissingGeneType
NM_001184429.1	NM_001184429.1	MissingGeneType
NM_001179051.1	NM_001179051.1	MissingGeneType
NM_001179052.4	NM_001179052.4	MissingGeneType
NM_001179053.3	NM_001179053.3	MissingGeneType
NM_001179054.1	NM_001179054.1	MissingGeneType
NM_001179055.1	NM_001179055.1	MissingGeneType
NM_001179056.3	NM_001179056.3	MissingGeneType
NM_001179057.3	NM_001179057.3	MissingGeneType
NM_001179058.1	NM_001179058.1	MissingGeneType
NM_001179060.3	NM_001179060.3	MissingGeneType
NM_001179061.3	NM_001179061.3	MissingGeneType
NM_001179062.1	NM_001179062.1	MissingGeneType
NM_001179063.1	NM_001179063.1	MissingGeneType
NM_001179064.3	NM_001179064.3	MissingGeneType
NM_001179065.3	NM_001179065.3	MissingGeneType
NM_001184589.1	NM_001184589.1	MissingGeneType
NM_001179066.1	NM_001179066.1	MissingGeneType
NM_001179067.3	NM_001179067.3	MissingGeneType
NM_001179068.3	NM_001179068.3	MissingGeneType
NM_001179069.1	NM_001179069.1	MissingGeneType
NM_001179070.1	NM_001179070.1	MissingGeneType
NM_001184517.3	NM_001184517.3	MissingGeneType
NM_001348828.1	NM_001348828.1	MissingGeneType
NM_001179072.3	NM_001179072.3	MissingGeneType
NM_001179073.1	NM_001179073.1	MissingGeneType
NM_001179074.1	NM_001179074.1	MissingGeneType
NM_001179075.3	NM_001179075.3	MissingGeneType
NM_001179076.3	NM_001179076.3	MissingGeneType
NM_001179077.1	NM_001179077.1	MissingGeneType
NM_001348829.1	NM_001348829.1	MissingGeneType
NM_001184633.1	NM_001184633.1	MissingGeneType
NM_001179079.3	NM_001179079.3	MissingGeneType
NM_001179080.3	NM_001179080.3	MissingGeneType
NM_001184590.1	NM_001184590.1	MissingGeneType
NM_001181524.1	NM_001181524.1	MissingGeneType
NM_001181460.1	NM_001181460.1	MissingGeneType
NM_001181783.1	NM_001181783.1	MissingGeneType
NM_001181657.1	NM_001181657.1	MissingGeneType
NM_001181656.1	NM_001181656.1	MissingGeneType
NM_001181655.1	NM_001181655.1	MissingGeneType
NM_001181654.1	NM_001181654.1	MissingGeneType
NM_001181652.1	NM_001181652.1	MissingGeneType
NM_001181651.1	NM_001181651.1	MissingGeneType
NM_001181650.1	NM_001181650.1	MissingGeneType
NM_001181649.1	NM_001181649.1	MissingGeneType
NM_001181647.1	NM_001181647.1	MissingGeneType
NM_001181646.1	NM_001181646.1	MissingGeneType
NM_001181645.1	NM_001181645.1	MissingGeneType
NM_001181643.1	NM_001181643.1	MissingGeneType
NM_001181642.1	NM_001181642.1	MissingGeneType
NM_001181641.1	NM_001181641.1	MissingGeneType
NM_001181640.1	NM_001181640.1	MissingGeneType
NM_001181638.1	NM_001181638.1	MissingGeneType
NM_001181639.1	NM_001181639.1	MissingGeneType
NM_001181637.1	NM_001181637.1	MissingGeneType
NM_001181636.1	NM_001181636.1	MissingGeneType
NM_001181634.1	NM_001181634.1	MissingGeneType
NM_001181633.1	NM_001181633.1	MissingGeneType
NM_001348846.1	NM_001348846.1	MissingGeneType
NM_001181631.1	NM_001181631.1	MissingGeneType
NM_001181630.1	NM_001181630.1	MissingGeneType
NM_001181629.1	NM_001181629.1	MissingGeneType
NM_001181627.1	NM_001181627.1	MissingGeneType
NM_001181626.1	NM_001181626.1	MissingGeneType
NM_001181625.1	NM_001181625.1	MissingGeneType
NM_001181624.1	NM_001181624.1	MissingGeneType
NM_001181623.1	NM_001181623.1	MissingGeneType
NM_001181622.1	NM_001181622.1	MissingGeneType
NM_001181620.1	NM_001181620.1	MissingGeneType
NM_001181619.2	NM_001181619.2	MissingGeneType
NM_001181618.1	NM_001181618.1	MissingGeneType
NM_001181617.1	NM_001181617.1	MissingGeneType
NM_001181616.2	NM_001181616.2	MissingGeneType
NM_001181614.1	NM_001181614.1	MissingGeneType
NM_001181613.1	NM_001181613.1	MissingGeneType
NM_001181612.2	NM_001181612.2	MissingGeneType
NM_001181611.1	NM_001181611.1	MissingGeneType
NM_001181610.1	NM_001181610.1	MissingGeneType
NM_001181609.1	NM_001181609.1	MissingGeneType
NM_001181607.1	NM_001181607.1	MissingGeneType
NM_001181606.1	NM_001181606.1	MissingGeneType
NM_001181605.1	NM_001181605.1	MissingGeneType
NM_001181604.2	NM_001181604.2	MissingGeneType
NM_001181603.1	NM_001181603.1	MissingGeneType
NM_001181601.2	NM_001181601.2	MissingGeneType
NM_001181600.1	NM_001181600.1	MissingGeneType
NM_001181599.1	NM_001181599.1	MissingGeneType
NM_001181598.1	NM_001181598.1	MissingGeneType
NM_001181597.2	NM_001181597.2	MissingGeneType
NM_001181596.1	NM_001181596.1	MissingGeneType
